Division,Location,Location Address,Location City,Location State,Location Zip,Location Code,Location Code 2
California,California - Arcadia,,Arcadia,California,91007,0602970,
California,California - Menifee,,Menifee,California,92584,0624540,
Georgia,Georgia - Atlanta,,Atlanta,Georgia,0,,
Illinois,Illinois-Central Office,,Evanston,Illinois,60201,0000000,
Illinois,Illinois-Chicago-North,,Chicago-North,Illinois,60657,1709930,
Illinois,Illinois-Chicago-Northwest,,Chicago-Northwest,Illinois,60630,1709930,
Illinois,Illinois-Chicago-South,,Chicago-South,Illinois,60643,1709930,
Illinois,Illinois-Chicago-West,,Chicago-West,Illinois,60302,1709930,
Illinois,Illinois-Dunlap/Germantown Hills,,Peoria,Illinois,61525,1712700,1716560
Illinois,Illinois-Elmhurst,,Elmhurst,Illinois,60126,1735220,
Illinois,Illinois-Evanston,,Evanston,Illinois,60201,1714460,
Illinois,Illinois-Fremont,,Fremont,Illinois,60060,1715930,
Illinois,Illinois-Grayslake,,Grayslake,Illinois,60030,1717520,
Illinois,Illinois-Itasca,,Itasca,Illinois,60143,1720220,
Illinois,Illinois-LaGrange,,LaGrange,Illinois,60525,1721600,
Illinois,Illinois-Norridge,,Norridge,Illinois,60706,1728650,
Manitoba,Manitoba - Winnipeg,,Winnipeg,Manitoba,R3T1L3,C0000001,
New Jersey,New Jersey - Kearny,,Kearny,New Jersey,7032,3407890,
New Jersey,New Jersey - Monmouth County (Hazlet),,Hazlet,New Jersey,7730,3413680,
New Jersey,New Jersey - Newark (Kearny),,Newark,New Jersey,0,3407890,
New Jersey,New Jersey - Somerset County (Somerville),,Somerville,New Jersey,8876,3415090,
New York,New York - Brooklyn,1 Albemarle Rd,Brooklyn,New York,11218,3600092,
New York,New York - Long Island (Lynbrook),,Long Island,New York,11563,3617910,
Ohio,Ohio - Cincinnati,,Cincinnati,Ohio,45233,3904737,
Ohio,Ohio - Cleveland,,Cleveland Heights,Ohio,44113,3904379,
Oklahoma,Oklahoma - Bridge Creek,,Bridge Creek,Oklahoma,73089,4005400,
Oklahoma,Oklahoma - Cashion,,Edmond,Oklahoma,73016,4006810,
Oklahoma,Oklahoma - Davis,,Davis,Oklahoma,73030,4009510,
Oklahoma,Oklahoma - Newcastle,,Newcastle,Oklahoma,73065,4021510,
Oklahoma,Oklahoma - Oklahoma City,,Oklahoma City,Oklahoma,73101,4005400,
Pennsylvania,Pennsylvania - Ridley,,Ridley,Pennsylvania,0,4220370,
Texas,Texas - Cedar Hill,,Cedar Hill,Texas,75104,4813230,
Texas,Texas - Duncanville,,Duncanville,Texas,75116,4817640,
Texas,Texas - Garland,,Garland,Texas,75040,4820340,
Texas,Texas - Grandbury,,Grandbury,Texas,76048,,
Texas,Texas - Lancaster,,Lancaster,Texas,*****,4826670,
Utah,Utah - Cache County,,Logan,Utah,84321,,
Washington,Washington - Puyallup,,Puyallup,Washington,98372,5306960,
Wisconsin,Wisconsin - Wauwatosa,,Wauwatosa,Wisconsin,53226,5515990,
