STATE,DISTRICT,SCHOOL NAME,NCES SCHOOL ID,NCES DISTRICT ID,QUICKBOOKS NAME
CA,CA - Arcadia,Hugo Reid Elementary,60297000232,602970,
CA,CA - Arcadia,Highland Oaks Elementary,60297000230,602970,
CA,CA - Arcadia,Holly Avenue Elementary,60297000231,602970,
CA,CA - Arcadia,Longley Way Elementary,60297000233,602970,
CA,CA - Arcadia,Baldwin Stocker Elementary,60297000224,602970,
CA,CA - Arcadia,Camino Grove Elementary,60297000226,602970,
CA,CA - Arcadia,Foothills Middle,60297000229,602970,
CA,CA - Arcadia,Dana Middle,60297000227,602970,
ID,ID - Idaho Falls,Longfellow,160036000062,1600360,
ID,ID - Idaho Falls,Fox Hollow,160153000726,1601530,
ID,ID - Idaho Falls,Linden Park,160153000263,1601530,
ID,ID - Idaho Falls,Edgemont,160153000258,1601530,
ID,ID - Idaho Falls,Sunnyside,160153000725,1601530,
ID,ID - Idaho Falls,Temple View,160153000269,1601530,
ID,ID - Bonneville,Ammon,160093000167,1600930,
ID,ID - Bonneville,Discovery,160093000971,1600930,
ID,ID - Bonneville,Falls Valley,160093000173,1600930,
ID,ID - Nampa / Middleton,Centennial,160234000409,1602340,
ID,ID - Nampa / Middleton,Lake Ridge (ID),160234000986,1602340,
ID,ID - Nampa / Middleton,New Horizons,160234000941,1602340,
ID,ID - Nampa / Middleton,Purple Sage,160213000812,1602130,
ID,ID - Nampa / Middleton,Franklin D. Roosevelt,160234000773,1602340,
ID,ID - Nampa / Middleton,Owyhee,160234000774,1602340,
ID,ID - Nampa / Middleton,Willow Creek,160234000833,1602340,
IL,IL - Chicago,Garvy Elementary,170993000784,1709930,
IL,IL - Chicago,Mitchell Elementary,170993000965,1709930,
IL,IL - Chicago,Waters Elementary,170993001147,1709930,
IL,IL - Chicago,Sauganash Elementary,170993001067,1709930,
IL,IL - Chicago,Bell Elementary,170993000605,1709930,
IL,IL - Chicago,Oscar Mayer Magnet,170993000950,1709930,
IL,IL - Chicago,LaSalle Language Academy,170993000905,1709930,
IL,IL - Chicago,Ebinger Elementary,170993000741,1709930,
IL,IL - Chicago,Hawthorne Scholastic Academy,170993000832,1709930,
IL,IL - Chicago,Onahan Elementary,170993001009,1709930,
IL,IL - Chicago,Murray Language Academy,170993000984,1709930,
IL,IL - Chicago,Beaubien Elementary,170993000601,1709930,
IL,IL - Chicago,Jamieson Elementary,170993000870,1709930,
IL,IL - Chicago,Rogers Elementary,170993001059,1709930,
IL,IL - Chicago,Newberry Academy,170993000991,1709930,
IL,IL - Chicago,Nettelhorst School,170993000988,1709930,
IL,IL - Chicago,Prescott Elementary,170993001040,1709930,
IL,IL - Chicago,Audubon Elementary,170993000581,1709930,
IL,IL - Chicago,Goethe Elementary,170993000794,1709930,
IL,IL - Chicago,Sutherland Elementary,170993001118,1709930,
IL,IL - Chicago,Drummond Elementary,170993000729,1709930,
IL,IL - Chicago,Prussing Elementary,170993001043,1709930,
IL,IL - Dunlap,Hickory Grove Elementary,171270006224,1712700,
IL,IL - Dunlap,Banner Elementary,171270004389,1712700,
IL,IL - Dunlap,Wilder-Waite Elementary,171270001524,1712700,
IL,IL - Dunlap,Ridgeview Elementary,171270004470,1712700,
IL,IL - Dunlap,Dunlap Grade,171270001521,1712700,
IL,IL - Eureka,Davenport Elementary,171443001780,1714430,
IL,IL - Evanston,Willard Elementary,171446001803,1714460,
IL,IL - Evanston,Kingsley Elementary,171446005537,1714460,
IL,IL - Evanston,Bessie Rhodes,171446001216,1714460,
IL,IL - Evanston,King Arts,171446001794,1714460,
IL,IL - Evanston,Lincoln Elementary,171446001792,1714460,
IL,IL - Evanston,Lincolnwood Elementary,171446001793,1714460,
IL,IL - Evanston,Orrington Elementary,171446001797,1714460,
IL,IL - Fremont,Fremont Elementary,171593001909,1715930,
IL,IL - Germantown Hills,Germantown Hills School,171656005639,1716560,
IL,IL - Grayslake,Prairieview School,171752004810,1717520,
IL,IL - Grayslake,Woodview School,171752005281,1717520,
IL,IL - Grayslake,Meadowview School,171752001752,1717520,
IL,IL - Itasca,Elmer Franzen Intermediate,172022002274,1720220,
IL,IL - La Grange,Forest Road Elementary,172160002422,1721600,
IL,IL - La Grange,Congress Park Elementary,172160002420,1721600,
IL,IL - La Grange,Ogden Avenue School,172160002423,1721600,
IL,IL - La Grange,Cossitt Avenue School,172160002421,1721600,
IL,IL - Oak Park,Beye Elementary,172925003068,1729250,
IL,IL - Salt Creek,Salt Creek Primary,173522003683,1735220,
NY,NY - Brooklyn,PS 230,360009202740,3600092,
NY,NY - New Rochelle,Jefferson Elementary,362049001898,3620490,
NY,NY - New Rochelle,Ward Elementary,362049004400,3620490,
NY,NY - New Rochelle,Davis Elementary,362049001895,3620490,
OH,OH - Oak Hills,Springmyer Elementary,390473702869,3904737,
OH,OH - Oak Hills,Oakdale Elementary,390473702874,3904737,
OH,OH - Oak Hills,C.O. Harrison Elementary,390473702868,3904737,
OH,OH - Oak Hills,Delshire Elementary,390473702871,3904737,
OH,OH - Oak Hills,J.F. Dulles Elementary,390473702872,3904737,
OK,OK - Bridgecreek,Bridge Creek Elementary,400540029674,4005400,
OK,OK - Newcastle,Newcastle Elementary,402151001056,4021510,
TX,TX - Cedar Hill,Collegiate Prep Elementary,481323013164,4813230,
TX,TX - Cedar Hill,Bray Elementary,481323000822,4813230,
TX,TX - Cedar Hill,Waterford Oaks Elementary,481323021203,4813230,
TX,TX - Cedar Hill,Plummer Elementary,481323000826,4813230,
TX,TX - Cedar Hill,Lake Ridge Elementary,481323009193,4813230,
